"","archetype","window","month","weekend","ex.kwh.mean","ex.kwh.50th","ex.kwh.10th","ex.kwh.25th","ex.kwh.75th","ex.kwh.90th","im.kwh.mean","im.kwh.50th","im.kwh.10th","im.kwh.25th","im.kwh.75th","im.kwh.90th","mean.Q_heat_elec_in","p10.Q_heat_elec_in","p25.Q_heat_elec_in","p50.Q_heat_elec_in","p75.Q_heat_elec_in","p90.Q_heat_elec_in"
"1","ES",0,4,0,NA,NA,NA,NA,NA,NA,0.24024830638788,0.1067162180994,0.027527311643076,0.05965162960428,0.24407914498632,0.37378039467636,NA,NA,NA,NA,NA,NA
"2","ES",0.5,4,0,NA,NA,NA,NA,NA,NA,0.31412876507208,0.11930325920856,0.02626860753216,0.0574625789766,0.27582037908768,0.970625048313312,NA,NA,NA,NA,NA,NA
"3","ES",1,4,0,NA,NA,NA,NA,NA,NA,0.4350738122514,0.1723877369298,0.032343223023972,0.07278593337036,0.46900409698044,1.35479796084458,NA,NA,NA,NA,NA,NA
"4","ES",1.5,4,0,NA,NA,NA,NA,NA,NA,0.746581189196833,0.595591422152605,0.07990034791032,0.17731310084208,1.22182408046616,1.78666481392643,NA,NA,NA,NA,NA,NA
"5","ES",2,4,0,NA,NA,NA,NA,NA,NA,0.707834993086897,0.34149189791808,0.0574625789766,0.12149230983624,1.12957748701573,1.75241164422981,NA,NA,NA,NA,NA,NA
"6","ES",2.5,4,0,NA,NA,NA,NA,NA,NA,0.607685926870537,0.27417859111692,0.043890465084984,0.10562169278556,0.933515167547567,1.58270549431892,NA,NA,NA,NA,NA,NA
"7","ES",3,4,0,NA,NA,NA,NA,NA,NA,0.50950153359252,0.28567110691224,0.046188968244048,0.11164158201168,0.842281010012433,1.42115355799613,NA,NA,NA,NA,NA,NA
"8","ES",3.5,4,0,NA,NA,NA,NA,NA,NA,0.4980090177972,0.29497457207988,0.06786056945808,0.13736292688692,0.748627951533714,1.29402444279362,NA,NA,NA,NA,NA,NA
"9","ES",4,4,0,NA,NA,NA,NA,NA,NA,0.50019806842488,0.2708950151754,0.06402973085964,0.12203957249316,0.776762724725971,1.17925799101092,NA,NA,NA,NA,NA,NA
"10","ES",4.5,4,0,NA,NA,NA,NA,NA,NA,0.39621816361008,0.24517367030016,0.06348246820272,0.11601968326704,0.58892029036475,0.898462994371841,NA,NA,NA,NA,NA,NA
"11","ES",5,4,0,NA,NA,NA,NA,NA,NA,0.35736251496876,0.21781053745416,0.07497498399804,0.1149251579532,0.53248656518316,0.869518272447342,NA,NA,NA,NA,NA,NA
"12","ES",5.5,4,0,NA,NA,NA,NA,NA,NA,0.3174123410136,0.191541929922,0.07223867071344,0.10781074341324,0.42795939771144,0.69194795815651,NA,NA,NA,NA,NA,NA
"13","ES",6,4,0,NA,NA,NA,NA,NA,NA,0.32781033149508,0.22328316402336,0.06512425617348,0.1012435915302,0.478854824805,0.707025044354656,NA,NA,NA,NA,NA,NA
"14","ES",6.5,4,0,NA,NA,NA,NA,NA,NA,0.35626798965492,0.22054685073876,0.07825855993956,0.12532314843468,0.4350738122514,0.909369939124256,NA,NA,NA,NA,NA,NA
"15","ES",7,4,0,NA,NA,NA,NA,NA,NA,0.35517346434108,0.24134283170172,0.08701476245028,0.1340793509454,0.47009862229428,0.78210400825751,NA,NA,NA,NA,NA,NA
"16","ES",7.5,4,0,NA,NA,NA,NA,NA,NA,0.32781033149508,0.259949762037,0.07716403462572,0.15542259456528,0.4296011856822,0.616677452323733,NA,NA,NA,NA,NA,NA
"17","ES",8,4,0,NA,NA,NA,NA,NA,NA,0.34149189791808,0.24189009435864,0.06238794288888,0.13353208828848,0.42303403379916,0.640242582330708,NA,NA,NA,NA,NA,NA
"18","ES",8.5,4,0,NA,NA,NA,NA,NA,NA,0.23587020513252,0.16636784770368,0.06621878148732,0.10726348075632,0.27472585377384,0.41099425534692,NA,NA,NA,NA,NA,NA
"19","ES",9,4,0,NA,NA,NA,NA,NA,NA,0.19920360711888,0.15542259456528,0.06184068023196,0.08263666119492,0.28840742019684,0.41044699269,NA,NA,NA,NA,NA,NA
"20","ES",9.5,4,0,NA,NA,NA,NA,NA,NA,0.18388025272512,0.15432806925144,0.039840721423776,0.0902983383918,0.2517408221832,0.37815849593172,NA,NA,NA,NA,NA,NA
"21","ES",10,4,0,NA,NA,NA,NA,NA,NA,0.18771109132356,0.14666639205456,0.04487553786744,0.0875620251072,0.26323333797852,0.37542218264712,NA,NA,NA,NA,NA,NA
"22","ES",10.5,4,0,NA,NA,NA,NA,NA,NA,0.17293499958672,0.14885544268224,0.047666577417732,0.07606950931188,0.25338261015396,0.34641726183036,NA,NA,NA,NA,NA,NA
"23","ES",11,4,0,NA,NA,NA,NA,NA,NA,0.16472605973292,0.14885544268224,0.052318310001552,0.07223867071344,0.2380592557602,0.32945211946584,NA,NA,NA,NA,NA,NA
"24","ES",11.5,4,0,NA,NA,NA,NA,NA,NA,0.17457678755748,0.12422862312084,0.043945191350676,0.08592023713644,0.24790998358476,0.33820832197656,NA,NA,NA,NA,NA,NA
"25","ES",12,4,0,NA,NA,NA,NA,NA,NA,0.17676583818516,0.13462661360232,0.048268566340344,0.08044761056724,0.24189009435864,0.34149189791808,NA,NA,NA,NA,NA,NA
"26","ES",12.5,4,0,NA,NA,NA,NA,NA,NA,0.1805966767836,0.1340793509454,0.05582079100584,0.08646749979336,0.23915378107404,0.3858201731286,NA,NA,NA,NA,NA,NA
"27","ES",13,4,0,NA,NA,NA,NA,NA,NA,0.17184047427288,0.1286067243762,0.051771047344632,0.07771129728264,0.23641746778944,0.328357594152,NA,NA,NA,NA,NA,NA
"28","ES",13.5,4,0,NA,NA,NA,NA,NA,NA,0.1532335439376,0.11930325920856,0.052701393861396,0.07552224665496,0.22109411339568,0.28293479362764,NA,NA,NA,NA,NA,NA
"29","ES",14,4,0,NA,NA,NA,NA,NA,NA,0.18935287929432,0.13189030031772,0.046134241978356,0.07880582259648,0.2298503159064,0.300994461306,NA,NA,NA,NA,NA,NA
"30","ES",14.5,4,0,NA,NA,NA,NA,NA,NA,0.18442751538204,0.13681566423,0.044492454007596,0.08154213588108,0.23641746778944,0.32507401821048,NA,NA,NA,NA,NA,NA
"31","ES",15,4,0,NA,NA,NA,NA,NA,NA,0.1833329900682,0.1313430376608,0.044383001476212,0.08810928776412,0.24024830638788,0.33492474603504,NA,NA,NA,NA,NA,NA
"32","ES",15.5,4,0,NA,NA,NA,NA,NA,NA,0.17895488881284,0.13517387625924,0.050512343233716,0.07990034791032,0.23641746778944,0.31303423975824,NA,NA,NA,NA,NA,NA
"33","ES",16,4,0,NA,NA,NA,NA,NA,NA,0.19373098054968,0.15761164519296,0.05527352834892,0.08263666119492,0.25119355952628,0.3776112332748,NA,NA,NA,NA,NA,NA
"34","ES",16.5,4,0,NA,NA,NA,NA,NA,NA,0.21671601214032,0.18004941412668,0.05582079100584,0.08920381307796,0.29497457207988,0.42522308442684,NA,NA,NA,NA,NA,NA
"35","ES",17,4,0,NA,NA,NA,NA,NA,NA,0.25830797406624,0.18388025272512,0.053193930252624,0.10562169278556,0.34313368588884,0.46024789446972,NA,NA,NA,NA,NA,NA
"36","ES",17.5,4,0,NA,NA,NA,NA,NA,NA,0.26159155000776,0.22328316402336,0.06676604414424,0.1039799048148,0.33985010994732,0.4898000779434,NA,NA,NA,NA,NA,NA
"37","ES",18,4,0,NA,NA,NA,NA,NA,NA,0.27363132846,0.20741254697268,0.05363174037816,0.10562169278556,0.32726306883816,0.576738223621711,NA,NA,NA,NA,NA,NA
"38","ES",18.5,4,0,NA,NA,NA,NA,NA,NA,0.28293479362764,0.2161687494834,0.05636805366276,0.12477588577776,0.39019827438396,0.49144186591416,NA,NA,NA,NA,NA,NA
"39","ES",19,4,0,NA,NA,NA,NA,NA,NA,0.29333278410912,0.218905062768,0.07223867071344,0.10616895544248,0.36174061622412,0.549714393623002,NA,NA,NA,NA,NA,NA
"40","ES",19.5,4,0,NA,NA,NA,NA,NA,NA,0.27034775251848,0.22328316402336,0.06676604414424,0.11875599655164,0.35681525231184,0.5089542709356,NA,NA,NA,NA,NA,NA
"41","ES",20,4,0,NA,NA,NA,NA,NA,NA,0.25119355952628,0.20850707228652,0.07223867071344,0.10835800607016,0.3721386067056,0.45313347992976,NA,NA,NA,NA,NA,NA
"42","ES",20.5,4,0,NA,NA,NA,NA,NA,NA,0.24736272092784,0.1997508697758,0.06621878148732,0.10288537950096,0.3174123410136,0.44930264133132,NA,NA,NA,NA,NA,NA
"43","ES",21,4,0,NA,NA,NA,NA,NA,NA,0.25776071140932,0.1970145564912,0.07333319602728,0.11930325920856,0.32671580618124,0.549544742199356,NA,NA,NA,NA,NA,NA
"44","ES",21.5,4,0,NA,NA,NA,NA,NA,NA,0.23422841716176,0.18388025272512,0.06621878148732,0.10288537950096,0.29388004676604,0.47994935011884,NA,NA,NA,NA,NA,NA
"45","ES",22,4,0,NA,NA,NA,NA,NA,NA,0.21179064822804,0.15980069582064,0.04761185115204,0.09467643964716,0.25064629686936,0.46407873306816,NA,NA,NA,NA,NA,NA
"46","ES",22.5,4,0,NA,NA,NA,NA,NA,NA,0.19810908180504,0.13681566423,0.038965101172704,0.08865655042104,0.2380592557602,0.4186559325438,NA,NA,NA,NA,NA,NA
"47","ES",23,4,0,NA,NA,NA,NA,NA,NA,0.16746237301752,0.11383063263936,0.03365665340058,0.06512425617348,0.20193992040348,0.33492474603504,NA,NA,NA,NA,NA,NA
"48","ES",23.5,4,0,NA,NA,NA,NA,NA,NA,0.22930305324948,0.1149251579532,0.032671580618124,0.06348246820272,0.24243735701556,0.51387963484788,NA,NA,NA,NA,NA,NA
"49","ES",0,4,1,NA,NA,NA,NA,NA,NA,0.24298461967248,0.10999979404092,0.028567110691224,0.05965162960428,0.21124338557112,0.657350012986027,NA,NA,NA,NA,NA,NA
"50","ES",0.5,4,1,NA,NA,NA,NA,NA,NA,0.36611871747948,0.13079577500388,0.027308406580308,0.06074615491812,0.31303423975824,0.921376881817081,NA,NA,NA,NA,NA,NA
"51","ES",1,4,1,NA,NA,NA,NA,NA,NA,0.45805884384204,0.1751240502144,0.03447754738596,0.08427844916568,0.601129720240636,1.26961105566842,NA,NA,NA,NA,NA,NA
"52","ES",1.5,4,1,NA,NA,NA,NA,NA,NA,0.75775082002457,0.557430797085574,0.07825855993956,0.14994996799608,1.14167746436023,1.87105818825006,NA,NA,NA,NA,NA,NA
"53","ES",2,4,1,NA,NA,NA,NA,NA,NA,0.720597158246272,0.45313347992976,0.05800984163352,0.10835800607016,1.15206998221514,1.71114803989804,NA,NA,NA,NA,NA,NA
"54","ES",2.5,4,1,NA,NA,NA,NA,NA,NA,0.613809796001472,0.3119397144444,0.06895509477192,0.1176614712378,0.98124194385756,1.37503573389748,NA,NA,NA,NA,NA,NA
"55","ES",3,4,1,NA,NA,NA,NA,NA,NA,0.5116905842202,0.25283534749704,0.046900409698044,0.11054705669784,0.840075541505046,1.31057366553888,NA,NA,NA,NA,NA,NA
"56","ES",3.5,4,1,NA,NA,NA,NA,NA,NA,0.519899524074,0.37870575858864,0.06731330680116,0.12696493640544,0.803463669757098,1.31346321236742,NA,NA,NA,NA,NA,NA
"57","ES",4,4,1,NA,NA,NA,NA,NA,NA,0.506217957651,0.27253680314616,0.06621878148732,0.13298482563156,0.792315929435638,1.32272836914907,NA,NA,NA,NA,NA,NA
"58","ES",4.5,4,1,NA,NA,NA,NA,NA,NA,0.43069571099604,0.22875579059256,0.05527352834892,0.123134097807,0.619687396936793,0.929498259645774,NA,NA,NA,NA,NA,NA
"59","ES",5,4,1,NA,NA,NA,NA,NA,NA,0.38910374907012,0.21452696151264,0.07169140805652,0.11164158201168,0.50731248296484,0.895847078871763,NA,NA,NA,NA,NA,NA
"60","ES",5.5,4,1,NA,NA,NA,NA,NA,NA,0.32397949289664,0.2134324361988,0.07004962008576,0.10726348075632,0.41044699269,0.760235392486987,NA,NA,NA,NA,NA,NA
"61","ES",6,4,1,NA,NA,NA,NA,NA,NA,0.33054664477968,0.22656673996488,0.0629352055458,0.09741275293176,0.42850666036836,0.800338799986085,NA,NA,NA,NA,NA,NA
"62","ES",6.5,4,1,NA,NA,NA,NA,NA,NA,0.34805904980112,0.20905433494344,0.0629352055458,0.09084560104872,0.43671560022216,0.878028206762448,NA,NA,NA,NA,NA,NA
"63","ES",7,4,1,NA,NA,NA,NA,NA,NA,0.3502481004288,0.26159155000776,0.07497498399804,0.11875599655164,0.46079515712664,0.83518848597875,NA,NA,NA,NA,NA,NA
"64","ES",7.5,4,1,NA,NA,NA,NA,NA,NA,0.33054664477968,0.2435318823294,0.06512425617348,0.11820873389472,0.44711359070364,0.677604203918636,NA,NA,NA,NA,NA,NA
"65","ES",8,4,1,NA,NA,NA,NA,NA,NA,0.3529844137134,0.24189009435864,0.06184068023196,0.12258683515008,0.42577034708376,0.732379723249759,NA,NA,NA,NA,NA,NA
"66","ES",8.5,4,1,NA,NA,NA,NA,NA,NA,0.24517367030016,0.18169120209744,0.06731330680116,0.0875620251072,0.29771088536448,0.43945191350676,NA,NA,NA,NA,NA,NA
"67","ES",9,4,1,NA,NA,NA,NA,NA,NA,0.21726327479724,0.15925343316372,0.04405464388206,0.0766167719688,0.29059647082452,0.51004879624944,NA,NA,NA,NA,NA,NA
"68","ES",9.5,4,1,NA,NA,NA,NA,NA,NA,0.20850707228652,0.1559698572222,0.04843274513742,0.08810928776412,0.23368115450484,0.3584570402826,NA,NA,NA,NA,NA,NA
"69","ES",10,4,1,NA,NA,NA,NA,NA,NA,0.22656673996488,0.17402952490056,0.051333237219096,0.08865655042104,0.28621836956916,0.43726286287908,NA,NA,NA,NA,NA,NA
"70","ES",10.5,4,1,NA,NA,NA,NA,NA,NA,0.19482550586352,0.16034795847756,0.041099425534692,0.08373118650876,0.2572134487524,0.38636743578552,NA,NA,NA,NA,NA,NA
"71","ES",11,4,1,NA,NA,NA,NA,NA,NA,0.191541929922,0.16855689833136,0.050129259373872,0.08427844916568,0.26651691392004,0.35188988839956,NA,NA,NA,NA,NA,NA
"72","ES",11.5,4,1,NA,NA,NA,NA,NA,NA,0.19646729383428,0.13900471485768,0.047502398620656,0.08373118650876,0.25119355952628,0.38800922375628,NA,NA,NA,NA,NA,NA
"73","ES",12,4,1,NA,NA,NA,NA,NA,NA,0.20467623368808,0.16527332238984,0.05636805366276,0.08154213588108,0.24572093295708,0.37870575858864,NA,NA,NA,NA,NA,NA
"74","ES",12.5,4,1,NA,NA,NA,NA,NA,NA,0.20467623368808,0.16636784770368,0.0574625789766,0.0793530852534,0.29169099613836,0.40880520471924,NA,NA,NA,NA,NA,NA
