"archetype","month","weekend","window","ex.kwh.mean","ex.kwh.10th","ex.kwh.25th","ex.kwh.50th","ex.kwh.75th","ex.kwh.90th","im.kwh.mean","im.kwh.10th","im.kwh.25th","im.kwh.50th","im.kwh.75th","im.kwh.90th"
"D",4,0,0,NA,NA,NA,NA,NA,NA,0.094090894145,0.042651680945,0.05272519353,0.07630149958,0.11273760893,0.128383702945
"D",4,0,0.5,NA,NA,NA,NA,NA,NA,0.08230274112,0.03900807001,0.055082824135,0.070943248205,0.10073512585,0.118095860305
"D",4,0,1,NA,NA,NA,NA,NA,NA,0.07330087881,0.033221158525,0.047366942155,0.06344169628,0.09130460343,0.11230894882
"D",4,0,1.5,NA,NA,NA,NA,NA,NA,0.070514588095,0.037936419735,0.04929591265,0.06515633672,0.086375012165,0.10073512585
"D",4,0,2,NA,NA,NA,NA,NA,NA,0.069228607765,0.038365079845,0.0471526121,0.066227986995,0.08530336189,0.099234815465
"D",4,0,2.5,NA,NA,NA,NA,NA,NA,0.06558499683,0.03300682847,0.04800993232,0.059369425235,0.082088411065,0.09687718486
"D",4,0,3,NA,NA,NA,NA,NA,NA,0.06472767661,0.034935798965,0.046938282045,0.0600124154,0.07587283947,0.096234194695
"D",4,0,3.5,NA,NA,NA,NA,NA,NA,0.063227366225,0.035364459075,0.044794981495,0.058940765125,0.07415819903,0.09087594332
"D",4,0,4,NA,NA,NA,NA,NA,NA,0.06258437606,0.03129218803,0.04415199133,0.05829777496,0.077373149855,0.09087594332
"D",4,0,4.5,NA,NA,NA,NA,NA,NA,0.064942006665,0.036221779295,0.044366321385,0.059798085345,0.078230470075,0.090661613265
"D",4,0,5,NA,NA,NA,NA,NA,NA,0.066656647105,0.035793119185,0.043509001165,0.064513346555,0.08015944057,0.097948835135
"D",4,0,5.5,NA,NA,NA,NA,NA,NA,0.073086548755,0.03257816836,0.04500931155,0.065799326885,0.085946352055,0.102235436235
"D",4,0,6,NA,NA,NA,NA,NA,NA,0.08015944057,0.04072271045,0.05186787331,0.07372953892,0.083803051505,0.11230894882
"D",4,0,6.5,NA,NA,NA,NA,NA,NA,0.08530336189,0.044366321385,0.059369425235,0.075658509415,0.10416440673,0.13588525487
