"archetype","read_month","read_type_of_day","read_hh","n_puprn","elec_imp_mean","elec_imp_50th","elec_imp_75th","elec_imp_25th","elec_imp_90th","elec_imp_10th","month","n_days","mean.year","p50th.year","p10th.year","p25th.year","p75th.year","p90th.year","kwh.mean","kwh.50th","kwh.10th","kwh.25th","kwh.75th","kwh.90th","persona"
"D","apr","weekday",1,80,"0.0000439","0.0000356","0.0000526","0.0000246","0.0000599","0.0000199",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.094090894145,0.07630149958,0.042651680945,0.05272519353,0.11273760893,0.128383702945,"P1"
"D","apr","weekday",2,80,"0.0000384","0.0000331","0.000047","0.0000257","0.0000551","0.0000182",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.08230274112,0.070943248205,0.03900807001,0.055082824135,0.10073512585,0.118095860305,"P1"
"D","apr","weekday",3,80,"0.0000342","0.0000296","0.0000426","0.0000221","0.0000524","0.0000155",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.07330087881,0.06344169628,0.033221158525,0.047366942155,0.09130460343,0.11230894882,"P1"
"D","apr","weekday",4,80,"0.0000329","0.0000304","0.0000403","0.000023","0.000047","0.0000177",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.070514588095,0.06515633672,0.037936419735,0.04929591265,0.086375012165,0.10073512585,"P1"
"D","apr","weekday",5,80,"0.0000323","0.0000309","0.0000398","0.000022","0.0000463","0.0000179",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.069228607765,0.066227986995,0.038365079845,0.0471526121,0.08530336189,0.099234815465,"P1"
"D","apr","weekday",6,80,"0.0000306","0.0000277","0.0000383","0.0000224","0.0000452","0.0000154",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.06558499683,0.059369425235,0.03300682847,0.04800993232,0.082088411065,0.09687718486,"P1"
"D","apr","weekday",7,80,"0.0000302","0.000028","0.0000354","0.0000219","0.0000449","0.0000163",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.06472767661,0.0600124154,0.034935798965,0.046938282045,0.07587283947,0.096234194695,"P1"
"D","apr","weekday",8,80,"0.0000295","0.0000275","0.0000346","0.0000209","0.0000424","0.0000165",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.063227366225,0.058940765125,0.035364459075,0.044794981495,0.07415819903,0.09087594332,"P1"
"D","apr","weekday",9,80,"0.0000292","0.0000272","0.0000361","0.0000206","0.0000424","0.0000146",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.06258437606,0.05829777496,0.03129218803,0.04415199133,0.077373149855,0.09087594332,"P1"
"D","apr","weekday",10,80,"0.0000303","0.0000279","0.0000365","0.0000207","0.0000423","0.0000169",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.064942006665,0.059798085345,0.036221779295,0.044366321385,0.078230470075,0.090661613265,"P1"
