"archetype","mean.year","p50th.year","p10th.year","p25th.year","p75th.year","p90th.year"
"D",2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058
"EO",6690.2551969,6302.1432,2247.2208,3840.4074,8417.16,11119.4303
"ER",4762.5163353,4058.6749,1535.2593,2427.6076,6277.0201,8855.1743
"ES",5472.6265692,4715.6874,1579.4389,2825.354,7117.8196,10245.6475
"G10",1785.2888542,1579.6755,876.8328,1184.3702,2194.8986,2834.1781
"G10p",1984.3580715,1720.5097,982.1181,1314.6883,2269.6904,3102.3376
"G11",2322.6824252,2219.2211,1322.449,1684.9667,2857.0994,3344.2747
"G12",2821.1901608,2487.0368,1508.3982,1956.7114,3039.3255,4115.3379
"G20",3421.4249402,2961.7198,1632.0462,2174.9206,4104.2978,5645.7317
"G20p",3290.4028819,2923.1607,1743.713,2248.8675,3886.0409,5235.7691
"G21",3908.8897836,3395.6363,1941.6937,2545.7759,4677.5282,6342.4715
"G22",4435.0030434,3934.8494,2388.3119,3019.4426,5196.747,6987.1972
"N",3683.299603,2755.6204,1152.7186,1659.302,4510.7562,7144.8506
"O",4125.8779627,3221.2294,1660.1402,2242.0345,4776.5944,7155.7166
"V",6417.9485059,5400.5912,1985.0889,3399.0145,8435.4239,12002.0333
"VX",5376.8875086,4248.9037,1801.8855,2735.4071,6924.3178,9983.0692
"X",3127.3674307,2292.4667,1087.8098,1511.9036,3577.6293,6119.9694
