archetype,read_month,read_type_of_day,read_hh,n_puprn,elec_exp_mean,elec_exp_50th,elec_exp_75th,elec_exp_25th,elec_exp_90th,elec_exp_10th
VX,apr,weekday,1,59,8.15E-07,0,0,0,8.92E-07,0
VX,apr,weekday,2,59,7.07E-07,0,0,0,6.22E-07,0
VX,apr,weekday,3,59,7.68E-07,0,0,0,2.33E-07,0
VX,apr,weekday,4,59,1.19E-06,0,0,0,2.07E-07,0
VX,apr,weekday,5,59,8.42E-07,0,0,0,6.70E-08,0
VX,apr,weekday,6,59,8.10E-07,0,0,0,2.14E-07,0
VX,apr,weekday,7,59,9.69E-07,0,0,0,2.05E-07,0
VX,apr,weekday,8,59,1.11E-06,0,0,0,2.65E-07,0
VX,apr,weekday,9,59,9.98E-07,0,0,0,2.15E-07,0
VX,apr,weekday,10,59,8.55E-07,0,0,0,5.13E-07,0
VX,apr,weekday,11,59,1.07E-06,0,0,0,7.80E-07,0
VX,apr,weekday,12,59,1.37E-06,0,0,0,2.07E-06,0
VX,apr,weekday,13,59,1.59E-06,0,6.86E-07,0,4.19E-06,0
VX,apr,weekday,14,59,4.00E-06,9.37E-07,2.50E-06,0,8.38E-06,0
VX,apr,weekday,15,59,9.30E-06,2.62E-06,7.63E-06,1.02E-06,2.82E-05,3.14E-09
VX,apr,weekday,16,59,1.76E-05,9.95E-06,2.04E-05,1.88E-06,4.12E-05,1.04E-07
VX,apr,weekday,17,59,3.43E-05,2.07E-05,5.27E-05,4.70E-06,8.41E-05,1.53E-06
VX,apr,weekday,18,59,5.68E-05,4.01E-05,9.31E-05,1.16E-05,0.000133315,3.39E-06
VX,apr,weekday,19,59,8.45E-05,6.42E-05,0.000131988,3.85E-05,0.000192434,4.98E-06
VX,apr,weekday,20,59,0.000118566,0.000111548,0.000196623,6.13E-05,0.000202562,8.17E-06
VX,apr,weekday,21,59,0.000143521,0.000152476,0.00019401,8.79E-05,0.000232867,1.35E-05
VX,apr,weekday,22,59,0.000172202,0.000182408,0.000229767,0.000130626,0.00027592,2.41E-05
VX,apr,weekday,23,59,0.000197075,0.000231043,0.000262278,0.000156295,0.000299814,3.20E-05
VX,apr,weekday,24,59,0.000223955,0.00024196,0.000276468,0.000189621,0.000294341,8.50E-05
VX,apr,weekday,25,59,0.000239618,0.000261122,0.000300372,0.000224728,0.000325598,9.44E-05
VX,apr,weekday,26,59,0.000263877,0.000269864,0.000287342,0.000235454,0.000354122,0.000132924
VX,apr,weekday,27,59,0.000269556,0.000272672,0.00031359,0.00023229,0.000359777,0.000190544
VX,apr,weekday,28,59,0.000278589,0.000272529,0.000322115,0.000246305,0.000366367,0.000204376
VX,apr,weekday,29,59,0.000278764,0.000278938,0.000317069,0.000238978,0.000375745,0.000210234
VX,apr,weekday,30,59,0.000265911,0.000258704,0.000316024,0.000218598,0.000337342,0.000200415
VX,apr,weekday,31,59,0.000244451,0.000257548,0.00028028,0.000202702,0.000310274,0.000169966
VX,apr,weekday,32,59,0.000215496,0.000216288,0.000262912,0.00016514,0.000307392,0.000138886
VX,apr,weekday,33,59,0.000177866,0.000161584,0.000228019,0.000125183,0.000266762,0.000108508
VX,apr,weekday,34,59,0.000140532,0.000121504,0.00019096,0.000101826,0.000218688,6.02E-05
VX,apr,weekday,35,59,0.000102136,8.70E-05,0.000150344,6.03E-05,0.000183465,2.91E-05
VX,apr,weekday,36,59,7.15E-05,5.58E-05,0.00011363,3.39E-05,0.000136537,1.30E-05
VX,apr,weekday,37,59,4.31E-05,2.68E-05,5.57E-05,9.08E-06,9.05E-05,2.80E-06
VX,apr,weekday,38,59,2.39E-05,8.29E-06,2.76E-05,2.94E-06,5.25E-05,1.06E-06
VX,apr,weekday,39,59,1.26E-05,2.62E-06,9.03E-06,2.49E-07,3.16E-05,2.13E-08
VX,apr,weekday,40,59,4.46E-06,1.40E-07,2.58E-06,0,8.59E-06,0
VX,apr,weekday,41,59,2.14E-06,0,3.21E-07,0,4.96E-06,0
VX,apr,weekday,42,59,2.04E-06,0,3.85E-07,0,2.95E-06,0
VX,apr,weekday,43,59,1.24E-06,0,7.86E-07,0,2.20E-06,0
VX,apr,weekday,44,59,1.33E-06,0,1.90E-07,0,3.28E-06,0
VX,apr,weekday,45,59,1.23E-06,0,1.01E-07,0,2.76E-06,0
VX,apr,weekday,46,59,9.87E-07,0,3.17E-08,0,1.70E-06,0
VX,apr,weekday,47,59,1.14E-06,0,0,0,1.71E-06,0
VX,apr,weekday,48,59,8.07E-07,0,0,0,9.41E-07,0
VX,apr,weekend,1,59,9.52E-07,0,0,0,9.63E-07,0
VX,apr,weekend,2,59,6.92E-07,0,0,0,6.23E-08,0
VX,apr,weekend,3,59,8.96E-07,0,0,0,5.08E-08,0
VX,apr,weekend,4,59,1.04E-06,0,0,0,4.04E-08,0
VX,apr,weekend,5,59,7.37E-07,0,0,0,4.24E-08,0
VX,apr,weekend,6,59,5.24E-07,0,0,0,1.79E-08,0
VX,apr,weekend,7,59,5.24E-07,0,0,0,3.58E-07,0
VX,apr,weekend,8,59,4.66E-07,0,0,0,3.22E-07,0
VX,apr,weekend,9,59,6.96E-07,0,0,0,3.46E-07,0
VX,apr,weekend,10,59,5.85E-07,0,0,0,4.30E-07,0
VX,apr,weekend,11,59,9.22E-07,0,0,0,1.46E-06,0
VX,apr,weekend,12,59,1.19E-06,0,2.29E-08,0,1.23E-06,0
VX,apr,weekend,13,59,1.96E-06,0,5.68E-07,0,3.13E-06,0
VX,apr,weekend,14,59,5.23E-06,4.72E-07,3.70E-06,0,1.13E-05,0
VX,apr,weekend,15,59,1.43E-05,3.20E-06,1.28E-05,2.12E-07,3.16E-05,0
VX,apr,weekend,16,59,2.68E-05,9.74E-06,3.77E-05,1.80E-06,5.27E-05,1.69E-07
