"archetype","read_month","read_type_of_day","read_hh","n_puprn","elec_exp_mean","elec_exp_50th","elec_exp_75th","elec_exp_25th","elec_exp_90th","elec_exp_10th"
"VX","apr","weekday",1,59,8.14931845983931e-07,0,0,0,8.92056273972256e-07,0
"VX","apr","weekday",2,59,7.06978559728298e-07,0,0,0,6.22206751943949e-07,0
"VX","apr","weekday",3,59,7.67708325335444e-07,0,0,0,2.3325915177332e-07,0
"VX","apr","weekday",4,59,1.19147235147435e-06,0,0,0,2.07141275824468e-07,0
"VX","apr","weekday",5,59,8.42442324290299e-07,0,0,0,6.70315054760719e-08,0
"VX","apr","weekday",6,59,8.0989663922617e-07,0,0,0,2.14365947700508e-07,0
"VX","apr","weekday",7,59,9.69318048533688e-07,0,0,0,2.0509864721692e-07,0
"VX","apr","weekday",8,59,1.10665953927015e-06,0,0,0,2.65205081588551e-07,0
"VX","apr","weekday",9,59,9.98467192609733e-07,0,0,0,2.14642771011451e-07,0
"VX","apr","weekday",10,59,8.54626468290694e-07,0,0,0,5.13368297751338e-07,0
"VX","apr","weekday",11,59,1.06955847089253e-06,0,0,0,7.79800171881925e-07,0
"VX","apr","weekday",12,59,1.36739443409838e-06,0,0,0,2.06955056516051e-06,0
"VX","apr","weekday",13,59,1.58668743836502e-06,0,6.85586443709261e-07,0,4.19353485791681e-06,0
"VX","apr","weekday",14,59,4.00391790426208e-06,9.36712026869539e-07,2.50233301257562e-06,0,8.37673696254959e-06,0
"VX","apr","weekday",15,59,9.30024053406181e-06,2.62428346107584e-06,7.63196775199056e-06,1.02328228957507e-06,2.8240866049431e-05,3.13785451519536e-09
"VX","apr","weekday",16,59,1.75580427710557e-05,9.95099329632227e-06,2.03680198281755e-05,1.87739004842698e-06,4.12222926546164e-05,1.0385144338628e-07
"VX","apr","weekday",17,59,3.43436753399719e-05,2.07268497430171e-05,5.27242813361351e-05,4.70222162538166e-06,8.40740026757952e-05,1.52832498234664e-06
"VX","apr","weekday",18,59,5.67737458905529e-05,4.0057275262349e-05,9.30669258918779e-05,1.15626174189573e-05,0.000133315492038721,3.39131922723426e-06
"VX","apr","weekday",19,59,8.44723536714246e-05,6.42354106010892e-05,0.000131988317838722,3.8466530525495e-05,0.000192433744066656,4.97565082028989e-06
"VX","apr","weekday",20,59,0.000118565738763931,0.000111548089721541,0.00019662329415971,6.12953455750663e-05,0.000202562073185704,8.17107303458656e-06
"VX","apr","weekday",21,59,0.000143521446358758,0.000152476074377536,0.000194010174091582,8.79216693797283e-05,0.000232866706412638,1.34532978796865e-05
"VX","apr","weekday",22,59,0.00017220204034363,0.000182408281170684,0.00022976696586612,0.000130625569973401,0.000275919922962459,2.41428432199525e-05
"VX","apr","weekday",23,59,0.000197074871508329,0.000231043356311407,0.000262278162635175,0.00015629512191506,0.00029981362060051,3.20242715379594e-05
"VX","apr","weekday",24,59,0.000223955140647468,0.000241959836009098,0.000276468060242895,0.000189621185768868,0.000294341124054438,8.50074711698359e-05
"VX","apr","weekday",25,59,0.000239617887280238,0.000261122326083494,0.000300372078966875,0.000224727631475549,0.000325598026384969,9.43982133318425e-05
"VX","apr","weekday",26,59,0.000263877222298453,0.000269863645697136,0.000287341914769144,0.000235453768716363,0.000354122009710427,0.000132924372359754
"VX","apr","weekday",27,59,0.000269556317299897,0.000272671867784344,0.000313590298918232,0.000232290435619237,0.000359776551283813,0.000190544417754025
"VX","apr","weekday",28,59,0.000278589288235918,0.000272529145992731,0.000322115087362869,0.000246305284505817,0.000366366668485439,0.000204376413595056
"VX","apr","weekday",29,59,0.000278763748091712,0.000278938270771908,0.000317068712162782,0.000238978119612056,0.000375745328689496,0.000210234053731083
"VX","apr","weekday",30,59,0.000265910656263099,0.0002587040116786,0.000316024066049339,0.00021859821780178,0.000337342196855507,0.000200414686376552
"VX","apr","weekday",31,59,0.000244451339846243,0.00025754797243202,0.000280279642007038,0.000202701963584872,0.000310273508519452,0.000169965788719281
"VX","apr","weekday",32,59,0.000215496398154726,0.000216287985901151,0.000262912256513671,0.000165139540418812,0.000307392175849951,0.000138885757998475
"VX","apr","weekday",33,59,0.000177865694928549,0.000161583550398684,0.000228019295861411,0.000125183035150519,0.00026676228452131,0.000108508048233551
"VX","apr","weekday",34,59,0.000140532394167079,0.000121503963302205,0.000190959966259556,0.000101825567654471,0.000218687552337214,6.01584833398908e-05
"VX","apr","weekday",35,59,0.000102135903339385,8.69501303232045e-05,0.00015034437606014,6.03256944804149e-05,0.000183465002234562,2.9054180090317e-05
"VX","apr","weekday",36,59,7.15160796435739e-05,5.58159705759316e-05,0.000113629562589455,3.39271222172482e-05,0.000136537124531825,1.30256897259754e-05
"VX","apr","weekday",37,59,4.30852240540252e-05,2.67856979839254e-05,5.5738509192054e-05,9.07756519527566e-06,9.04714497328056e-05,2.79532771767094e-06
"VX","apr","weekday",38,59,2.3927972055892e-05,8.29180893669222e-06,2.75800913242731e-05,2.93809934899577e-06,5.2528847448427e-05,1.064429241945e-06
"VX","apr","weekday",39,59,1.25811451775053e-05,2.62022130100965e-06,9.02877328088936e-06,2.48899875948204e-07,3.15715385383072e-05,2.12633153544906e-08
"VX","apr","weekday",40,59,4.45794362275288e-06,1.40004806992931e-07,2.57585649325135e-06,0,8.58986796567132e-06,0
"VX","apr","weekday",41,59,2.14078760207147e-06,0,3.20693830332242e-07,0,4.96231801650493e-06,0
"VX","apr","weekday",42,59,2.03551331878751e-06,0,3.84555237984576e-07,0,2.95475895812284e-06,0
"VX","apr","weekday",43,59,1.23860743221464e-06,0,7.85691421822854e-07,0,2.2038728168135e-06,0
"VX","apr","weekday",44,59,1.32943885594097e-06,0,1.90392706868807e-07,0,3.27527364374678e-06,0
"VX","apr","weekday",45,59,1.23034168861309e-06,0,1.01343557657844e-07,0,2.76113401218478e-06,0
"VX","apr","weekday",46,59,9.86998844786875e-07,0,3.16671616025172e-08,0,1.69952143824138e-06,0
"VX","apr","weekday",47,59,1.13699077512332e-06,0,0,0,1.71317525083773e-06,0
"VX","apr","weekday",48,59,8.07156572092327e-07,0,0,0,9.41108697328809e-07,0
"VX","apr","weekend",1,59,9.51951535305736e-07,0,0,0,9.63184503357744e-07,0
"VX","apr","weekend",2,59,6.92323441988717e-07,0,0,0,6.23189532305697e-08,0
"VX","apr","weekend",3,59,8.96377164819733e-07,0,0,0,5.08185784092911e-08,0
"VX","apr","weekend",4,59,1.03957907233173e-06,0,0,0,4.04390089725145e-08,0
"VX","apr","weekend",5,59,7.37374310345096e-07,0,0,0,4.24132181735012e-08,0
"VX","apr","weekend",6,59,5.23636118770405e-07,0,0,0,1.7894429320711e-08,0
"VX","apr","weekend",7,59,5.24487821674252e-07,0,0,0,3.58280829064315e-07,0
"VX","apr","weekend",8,59,4.66407274926188e-07,0,0,0,3.22249493083135e-07,0
"VX","apr","weekend",9,59,6.96302412974614e-07,0,0,0,3.45790737262712e-07,0
"VX","apr","weekend",10,59,5.85297281502596e-07,0,0,0,4.29867099929834e-07,0
"VX","apr","weekend",11,59,9.22490677179971e-07,0,0,0,1.4588318765172e-06,0
"VX","apr","weekend",12,59,1.18839319630328e-06,0,2.29066900765015e-08,0,1.23002412116533e-06,0
"VX","apr","weekend",13,59,1.9577454941224e-06,0,5.68322685765466e-07,0,3.12982089885137e-06,0
"VX","apr","weekend",14,59,5.23487210211692e-06,4.71910708180217e-07,3.69788863040046e-06,0,1.13171012565125e-05,0
"VX","apr","weekend",15,59,1.43118095871227e-05,3.19517176823761e-06,1.27913108945226e-05,2.11800408074414e-07,3.15844838904027e-05,0
"VX","apr","weekend",16,59,2.67571779204529e-05,9.74030094268719e-06,3.7745963666354e-05,1.79932433799318e-06,5.2689056051245e-05,1.68540320298444e-07
"VX","apr","weekend",17,59,4.70135118256901e-05,2.07901643945249e-05,7.73079160571031e-05,6.31404203777923e-06,9.05477068850038e-05,7.10598893120834e-07
"VX","apr","weekend",18,59,7.70649153187174e-05,3.69691924905227e-05,0.000113686529816784,1.00796533939681e-05,0.000211848401400304,2.07862023783249e-06
"VX","apr","weekend",19,59,0.000110259793778156,6.99818960472614e-05,0.000158649689703548,3.29585015115762e-05,0.000224908606358978,4.91575763974965e-06
"VX","apr","weekend",20,59,0.000159537443747974,0.000141870491367149,0.000229065455649534,4.98601333982962e-05,0.00026407104928252,9.59997685458092e-06
"VX","apr","weekend",21,59,0.000197462219922266,0.000195707945596509,0.000259946788090785,0.000114959179623375,0.000343651022607319,1.47587721360716e-05
"VX","apr","weekend",22,59,0.000233718929907604,0.000244436200179691,0.000311405575384388,0.000140404865906899,0.000373959090025744,5.04748668651505e-05
"VX","apr","weekend",23,59,0.000255098722390004,0.000262788263808483,0.000348650322004352,0.000128470326848864,0.0004047149520739,3.57450044325607e-05
"VX","apr","weekend",24,59,0.000288357112273111,0.000328853694090179,0.000363962140328481,0.000201023276052308,0.000420605849809006,5.44025230168858e-05
"VX","apr","weekend",25,59,0.000306010257058437,0.000324846585575413,0.000389986722907954,0.000207243468366485,0.000423277540849605,9.67724427373097e-05
"VX","apr","weekend",26,59,0.000318306112203805,0.000339300094311583,0.00039041061470868,0.000228296426836002,0.000452413262645422,0.000162985921977809
"VX","apr","weekend",27,59,0.000344009683184664,0.000338107473132901,0.000426809157658921,0.000278625778480289,0.000476890921875964,0.000226397264657588
"VX","apr","weekend",28,59,0.000350686504566711,0.000339392064256962,0.00042214444078984,0.000284298593024958,0.000515739928856276,0.00022158653168023
"VX","apr","weekend",29,59,0.000362300160531894,0.000356741458644681,0.00044715867346212,0.000284369318601417,0.000519438442685468,0.000210523454637541
"VX","apr","weekend",30,59,0.000336328544089416,0.000336561916229539,0.000393662116693146,0.000268135556119779,0.000467571859428739,0.000174083918637638
"VX","apr","weekend",31,59,0.000298219847270803,0.000272220030006504,0.000345640806408272,0.000225740660549243,0.000426725988916135,0.000178132828965274
"VX","apr","weekend",32,59,0.000272905132318943,0.00025339213155606,0.000309573579582259,0.000190546336461913,0.000419162489780986,0.000140377331651506
"VX","apr","weekend",33,59,0.000245439318604935,0.000220394156072028,0.000304709399990303,0.000165510544785843,0.000373674388366476,8.83173120631707e-05
"VX","apr","weekend",34,59,0.000187141155218569,0.000158398709651673,0.000222843246442753,0.000122514135640629,0.000360815750795313,5.82753970929677e-05
