"archetype","n_puprn","month","elec_exp_total_kwh_mean","elec_exp_total_kwh_50th","elec_exp_total_kwh_75th","elec_exp_total_kwh_25th","elec_exp_total_kwh_90th","elec_exp_total_kwh_10th","elec_exp_hh_peak_wh_mean","elec_exp_hh_peak_wh_50th","elec_exp_hh_peak_wh_75th","elec_exp_hh_peak_wh_25th","elec_exp_hh_peak_wh_90th","elec_exp_hh_peak_wh_10th","elec_exp_hh_min_wh_mean","elec_exp_hh_min_wh_50th","elec_exp_hh_min_wh_75th","elec_exp_hh_min_wh_25th","elec_exp_hh_min_wh_90th","elec_exp_hh_min_wh_10th"
"VX",59,"jul",241.59506779661,260.4488,295.2772,165.5207,320.8853,135.4839,1285.98305084746,1259.9,1456.4,1172.1,1521,849.2,0,0,0,0,0,0
"X",501,"jul",247.040662674651,247.6859,334.2738,159.2488,382.8556,101.746,1125.13572854291,1162.2,1410.4,877.7,1572.9,592.1,0,0,0,0,0,0
"VX",59,"aug",172.071847457627,185.0433,214.8716,112.6796,251.711,96.1686,1253.25423728814,1270.8,1451.8,1017.8,1537.3,769.3,0,0,0,0,0,0
"X",501,"aug",176.456718562874,176.182,241.3427,113.828,285.1951,64.1462,1093.73053892216,1131.2,1385.9,858.5,1520.8,574.3,0,0,0,0,0,0
"VX",59,"sep",141.12706779661,132.4346,188.2406,115.0863,205.3366,44.5962,1101.50847457627,1148.2,1273.7,865.8,1419.9,724.2,0,0,0,0,0,0
"X",501,"sep",151.240902195609,150.738,204.077,94.3935,250.8161,53.3982,984.850299401198,1019.9,1279.8,745.5,1418.1,504.9,0,0,0,0,0,0
"VX",59,"oct",79.747593220339,78.4098,105.8041,51.2468,146.771,12.6491,987.305084745763,1055.4,1219.8,754.9,1427.1,477.6,0,0,0,0,0,0
"X",501,"oct",86.948129740519,83.7716,122.6056,48.7889,153.0484,22.8422,905.962075848303,942.8,1185.1,649.3,1345.1,440,0,0,0,0,0,0
"VX",59,"nov",41.902220338983,38.0233,62.3959,13.7494,80.0039,8.8137,756.796610169491,751.2,957.9,503.6,1119.8,154.5,0,0,0,0,0,0
"X",501,"nov",45.2305688622754,39.6418,64.2033,19.8626,92.6768,6.3745,676.576846307385,662.3,920.6,438.6,1097.4,240.4,0,0,0,0,0,0
"VX",59,"dec",15.6629661016949,12.2591,18.3165,6.4587,29.4397,1.1414,501.338983050847,442.4,771.3,137.3,918.6,45,0,0,0,0,0,0
"X",501,"dec",15.8394930139721,12.2807,23.2165,4.7914,35.0175,0.867,476.209580838323,460,694.9,239.8,915.2,79.6,0,0,0,0,0,0
"VX",59,"jan",35.436406779661,27.3955,56.5404,8.3421,65.9845,5.9003,657.932203389831,654.3,911.1,462.6,984.3,111.6,0,0,0,0,0,0
"X",501,"jan",41.0773532934132,33.8176,63.6215,14.538,86.6701,3.5545,616.185628742515,608.4,851.3,376.2,1062.8,167.2,0,0,0,0,0,0
"VX",59,"feb",60.8774237288136,50.3828,78.9396,38.42,110.0177,18.0135,962.237288135593,996.7,1136.7,727.7,1319.2,633.2,0,0,0,0,0,0
"X",501,"feb",67.8111017964072,62.483,95.6607,36.6609,128.3499,14.9156,873.451097804391,881.7,1159,596,1345.7,384.1,0,0,0,0,0,0
"VX",59,"mar",155.689457627119,173.2811,194.5216,123.8607,221.5536,58.4852,1165.47457627119,1179.4,1407.9,878.7,1496.6,762.9,0,0,0,0,0,0
"X",501,"mar",170.173245508982,168.4565,233.132,106.9283,278.8542,55.3178,1045.53293413174,1088.1,1349,775,1507.3,537.2,0,0,0,0,0,0
"VX",59,"apr",203.046389830508,215.5675,258.8029,139.5896,292.023,116.0596,1285.81355932203,1307.7,1469.3,1111.6,1573,835,0,0,0,0,0,0
"X",501,"apr",217.749085828343,217.9487,293.8648,145.1666,341.8047,75.5065,1139.68862275449,1193.7,1471.9,870,1598.7,598.7,0,0,0,0,0,0
"VX",59,"may",227.094372881356,215.1854,266.1758,162.3183,313.1965,112.6324,1314.23728813559,1341,1557.2,1169.7,1599,823.9,0,0,0,0,0,0
"X",501,"may",238.767159680639,241.2906,313.8739,165.2715,377.7596,96.2967,1170.47305389222,1220.2,1465.7,914,1633,604.5,0,0,0,0,0,0
"VX",59,"jun",251.275983050847,259.9427,301.1956,179.6785,360.9908,137.4487,1337.72881355932,1398.6,1531.3,1168.4,1845.8,848.7,0,0,0,0,0,0
"X",501,"jun",269.358483033932,271.5901,356.5428,190.9542,417.3352,108.7005,1175.96407185629,1228.1,1472.4,921.1,1637,604.3,0.00399201596806387,0,0,0,0,0
