archetype,read_month,read_type_of_day,read_hh,n_puprn,elec_imp_mean,elec_imp_50th,elec_imp_75th,elec_imp_25th,elec_imp_90th,elec_imp_10th
D,apr,weekday,1,80,4.39E-05,3.56E-05,5.26E-05,2.46E-05,5.99E-05,1.99E-05
D,apr,weekday,2,80,3.84E-05,3.31E-05,4.70E-05,2.57E-05,5.51E-05,1.82E-05
D,apr,weekday,3,80,3.42E-05,2.96E-05,4.26E-05,2.21E-05,5.24E-05,1.55E-05
D,apr,weekday,4,80,3.29E-05,3.04E-05,4.03E-05,2.30E-05,4.70E-05,1.77E-05
D,apr,weekday,5,80,3.23E-05,3.09E-05,3.98E-05,2.20E-05,4.63E-05,1.79E-05
D,apr,weekday,6,80,3.06E-05,2.77E-05,3.83E-05,2.24E-05,4.52E-05,1.54E-05
D,apr,weekday,7,80,3.02E-05,2.80E-05,3.54E-05,2.19E-05,4.49E-05,1.63E-05
D,apr,weekday,8,80,2.95E-05,2.75E-05,3.46E-05,2.09E-05,4.24E-05,1.65E-05
D,apr,weekday,9,80,2.92E-05,2.72E-05,3.61E-05,2.06E-05,4.24E-05,1.46E-05
D,apr,weekday,10,80,3.03E-05,2.79E-05,3.65E-05,2.07E-05,4.23E-05,1.69E-05
D,apr,weekday,11,80,3.11E-05,3.01E-05,3.74E-05,2.03E-05,4.57E-05,1.67E-05
D,apr,weekday,12,80,3.41E-05,3.07E-05,4.01E-05,2.10E-05,4.77E-05,1.52E-05
D,apr,weekday,13,80,3.74E-05,3.44E-05,3.91E-05,2.42E-05,5.24E-05,1.90E-05
D,apr,weekday,14,80,3.98E-05,3.53E-05,4.86E-05,2.77E-05,6.34E-05,2.07E-05
D,apr,weekday,15,80,4.37E-05,3.73E-05,5.36E-05,3.04E-05,6.36E-05,2.20E-05
D,apr,weekday,16,80,4.73E-05,4.07E-05,5.81E-05,3.14E-05,7.20E-05,2.27E-05
D,apr,weekday,17,80,5.34E-05,4.57E-05,6.79E-05,3.73E-05,8.43E-05,2.86E-05
D,apr,weekday,18,80,5.54E-05,5.25E-05,6.72E-05,3.75E-05,8.10E-05,2.75E-05
D,apr,weekday,19,80,5.40E-05,4.69E-05,6.37E-05,3.95E-05,7.80E-05,2.49E-05
D,apr,weekday,20,80,5.31E-05,5.05E-05,6.30E-05,3.75E-05,7.68E-05,2.86E-05
D,apr,weekday,21,80,5.28E-05,4.60E-05,6.17E-05,4.14E-05,7.60E-05,3.20E-05
D,apr,weekday,22,80,5.33E-05,4.93E-05,6.59E-05,4.02E-05,7.42E-05,3.57E-05
D,apr,weekday,23,80,6.04E-05,5.26E-05,6.34E-05,4.13E-05,7.58E-05,3.17E-05
D,apr,weekday,24,80,5.90E-05,5.17E-05,6.74E-05,4.23E-05,8.46E-05,3.26E-05
D,apr,weekday,25,80,6.10E-05,5.34E-05,6.96E-05,4.17E-05,8.14E-05,3.82E-05
D,apr,weekday,26,80,6.08E-05,5.78E-05,7.08E-05,4.51E-05,8.14E-05,3.72E-05
D,apr,weekday,27,80,5.56E-05,5.17E-05,6.71E-05,4.16E-05,7.71E-05,3.78E-05
D,apr,weekday,28,80,5.54E-05,4.94E-05,6.91E-05,4.09E-05,7.66E-05,3.77E-05
D,apr,weekday,29,80,5.50E-05,5.04E-05,6.69E-05,4.16E-05,7.77E-05,3.91E-05
D,apr,weekday,30,80,5.57E-05,4.95E-05,6.64E-05,4.05E-05,8.26E-05,3.16E-05
D,apr,weekday,31,80,5.55E-05,5.18E-05,6.43E-05,4.16E-05,7.91E-05,3.50E-05
D,apr,weekday,32,80,5.78E-05,5.44E-05,7.12E-05,4.08E-05,8.24E-05,3.14E-05
D,apr,weekday,33,80,6.44E-05,5.77E-05,7.14E-05,4.65E-05,9.73E-05,3.60E-05
D,apr,weekday,34,80,6.92E-05,6.36E-05,8.06E-05,4.56E-05,9.98E-05,3.80E-05
D,apr,weekday,35,80,8.07E-05,6.38E-05,9.78E-05,4.59E-05,0.000130185,4.13E-05
D,apr,weekday,36,80,8.41E-05,6.74E-05,8.66E-05,4.96E-05,0.000152711,4.17E-05
D,apr,weekday,37,80,7.57E-05,6.58E-05,8.77E-05,5.22E-05,0.00011364,4.34E-05
D,apr,weekday,38,80,7.67E-05,6.67E-05,9.31E-05,5.62E-05,0.000120975,3.82E-05
D,apr,weekday,39,80,7.89E-05,7.07E-05,8.36E-05,5.48E-05,0.000115596,4.76E-05
D,apr,weekday,40,80,8.11E-05,7.11E-05,9.75E-05,5.25E-05,0.000126499,4.26E-05
D,apr,weekday,41,80,7.96E-05,6.96E-05,9.18E-05,5.39E-05,0.000122497,4.69E-05
D,apr,weekday,42,80,7.40E-05,6.42E-05,8.69E-05,5.48E-05,0.000110282,4.54E-05
D,apr,weekday,43,80,6.90E-05,6.37E-05,7.83E-05,5.36E-05,9.60E-05,4.51E-05
D,apr,weekday,44,80,6.39E-05,5.86E-05,7.33E-05,4.67E-05,9.82E-05,4.01E-05
D,apr,weekday,45,80,6.10E-05,5.81E-05,7.28E-05,4.28E-05,8.06E-05,3.78E-05
D,apr,weekday,46,80,5.46E-05,5.27E-05,6.39E-05,3.63E-05,8.18E-05,3.40E-05
D,apr,weekday,47,80,4.97E-05,4.66E-05,6.07E-05,3.28E-05,7.60E-05,2.54E-05
D,apr,weekday,48,80,4.66E-05,4.21E-05,5.64E-05,3.17E-05,6.69E-05,2.17E-05
D,apr,weekend,1,80,4.56E-05,3.87E-05,5.62E-05,2.77E-05,6.91E-05,2.29E-05
D,apr,weekend,2,80,4.17E-05,3.37E-05,5.16E-05,2.70E-05,5.96E-05,1.84E-05
D,apr,weekend,3,80,4.07E-05,3.12E-05,4.30E-05,2.60E-05,5.62E-05,1.94E-05
D,apr,weekend,4,80,3.88E-05,2.99E-05,4.32E-05,2.33E-05,5.53E-05,1.77E-05
D,apr,weekend,5,80,3.66E-05,3.28E-05,4.26E-05,2.40E-05,5.84E-05,1.75E-05
D,apr,weekend,6,80,3.21E-05,2.80E-05,3.88E-05,2.18E-05,5.47E-05,1.60E-05
D,apr,weekend,7,80,3.18E-05,2.81E-05,3.78E-05,2.22E-05,5.11E-05,1.53E-05
D,apr,weekend,8,80,3.02E-05,2.91E-05,3.58E-05,1.95E-05,4.87E-05,1.59E-05
D,apr,weekend,9,80,2.93E-05,2.70E-05,3.57E-05,2.13E-05,4.44E-05,1.45E-05
D,apr,weekend,10,80,3.01E-05,2.96E-05,3.41E-05,2.16E-05,4.65E-05,1.67E-05
D,apr,weekend,11,80,2.98E-05,2.65E-05,3.50E-05,2.09E-05,4.08E-05,1.50E-05
D,apr,weekend,12,80,3.04E-05,2.66E-05,3.48E-05,2.12E-05,4.47E-05,1.60E-05
D,apr,weekend,13,80,3.49E-05,2.92E-05,4.29E-05,2.36E-05,4.77E-05,1.61E-05
