archetype,n_puprn,month,elec_imp_total_kwh_mean,elec_imp_total_kwh_50th,elec_imp_total_kwh_75th,elec_imp_total_kwh_25th,elec_imp_total_kwh_90th,elec_imp_total_kwh_10th,elec_imp_hh_peak_wh_mean,elec_imp_hh_peak_wh_50th,elec_imp_hh_peak_wh_75th,elec_imp_hh_peak_wh_25th,elec_imp_hh_peak_wh_90th,elec_imp_hh_peak_wh_10th,elec_imp_hh_min_wh_mean,elec_imp_hh_min_wh_50th,elec_imp_hh_min_wh_75th,elec_imp_hh_min_wh_25th,elec_imp_hh_min_wh_90th,elec_imp_hh_min_wh_10th
D,80,jul,180.394725,135.5613,219.799,104.4743,305.3339,77.7914,1313.7375,1282.5,1579.9,907.8,2073.5,727.8,24.3625,19,26.6,9.3,50.2,1.5
D,80,aug,165.4089625,129.1671,188.3703,97.7758,277.2469,68.7065,1269.8625,1221.2,1461.4,932.7,1777.1,659.8,23.5875,18.7,26.2,9.8,46.6,4.9
D,80,sep,174.7221625,130.2758,212.5761,102.2294,283.5392,76.6079,1303.5,1163,1519.7,1011.1,1825.7,741.6,24.725,19.9,29.1,9.9,51.8,5
D,80,oct,184.954725,140.214,244.2824,99.9774,325.3594,79.2942,1348.4125,1276.7,1596.7,1006.8,1872.2,726.1,24.1875,18.4,25.9,9.2,46.2,3.1
D,80,nov,187.50405,140.9545,204.8923,99.2347,315.1721,85.2866,1415.4875,1286.5,1650.7,1087.2,2124.7,751.9,25.075,18.6,28.9,9.6,45.9,2.8
D,80,dec,200.7487125,156.1527,235.4814,103.7239,346.6524,78.5756,1421.825,1293.5,1571.1,1013.6,2129.4,692,24.3,17,31,10,45.8,4.3
D,80,jan,194.111275,144.8077,222.6408,97.8316,326.1086,73.6879,1359.6375,1302.9,1529.9,978.4,1994.3,761,24.825,19.9,30,9.2,47,4.7
D,80,feb,174.380575,134.8621,207.1214,89.9646,322.8213,74.0469,1389.6375,1317.4,1595.3,925.5,1980.3,718.7,24.4,18.5,27.4,9.5,47.7,3.1
D,80,mar,183.08955,136.4037,218.3905,103.6032,306.1397,67.0326,1368.025,1283.9,1523.7,971.3,2114,736.3,24.5375,19.8,27.9,8.3,46.8,2.9
D,80,apr,166.891025,154.9254,212.5521,92.7599,286.6295,65.9358,1317.825,1201.7,1575.7,993.3,1860,701.2,22.95,19.2,28.3,9.5,44,2.7
D,80,may,166.55145,130.1139,192.5825,98.8911,271.9665,70.9704,1281.325,1218.4,1591.9,902.6,2011.4,716.2,23.1375,18.6,28.3,8.7,44.1,2.8
D,80,jun,164.5433375,144.8044,191.0665,94.7442,239.2363,61.3628,1255.3875,1254.4,1581.5,895.8,1933.4,711.6,23.125,20.1,26.1,8.1,48.6,2.9
EO,61,jul,320.2200164,293.5171,406.9403,181.9033,481.3782,133.2858,2011.491803,2033.7,2418.9,1560.3,2899.9,1106.1,41.1147541,28.7,49.6,19.1,89.2,0.5
EO,61,aug,330.8273115,319.2925,397.2278,213.5895,535.5218,127.3946,2076.819672,1921.5,2379.4,1626.4,3009.3,1227.5,39.72131148,25.2,50.3,14,72.3,0.5
EO,61,sep,343.4673607,293.0534,429.632,197.2466,625.967,141.498,2278.901639,2090,2890.7,1527.7,3495.8,1363.3,42.86885246,25.5,51.4,14.1,96.9,0.5
EO,61,oct,510.5246066,444.251,666.9252,299.8924,856.7883,186.9954,2750.459016,2453.4,3218.9,1788.8,4761,1469.2,45.81967213,25.2,53.5,11.2,110.2,0.1
EO,61,nov,727.4868689,686.3773,961.5991,423.4547,1220.0208,249.071,3228.098361,3017.6,4012.6,2406.7,4992,1749.2,52.31147541,23.8,47.6,18.4,94.9,0.5
EO,61,dec,871.7616066,788.937,1152.927,542.0499,1445.2992,250.9485,3331.819672,3055,4179.9,2477.1,5593.8,1854,54.2295082,29.5,54.6,20.9,115.2,9.2
EO,61,jan,952.9021311,973.0004,1223.4295,508.8059,1573.6064,296.8915,3340.655738,3127.7,4102.9,2515.5,5420.5,1937.9,62.16393443,28.5,58.8,20.2,90.6,2.1
EO,61,feb,772.5231475,752.1801,951.6643,403.9905,1263.4108,239.0584,3099.868852,2741.3,3674.4,2318.9,5234.6,1890.7,58.01639344,26.1,41.6,13.5,101.3,0.4
EO,61,mar,684.5035902,621.778,804.2886,424.6081,1203.325,203.9512,3057.918033,2790.6,3522.4,2311.7,5060.2,1568.5,46.49180328,25.5,46.9,14.6,87.2,1.5
EO,61,apr,506.9558197,463.3331,624.8678,281.0475,729.1869,168.2912,2771.852459,2424.9,3376.3,1954.4,4745.5,1579,42.13114754,23.9,43.1,14.4,88.7,0.8
EO,61,may,354.7011967,347.0325,424.515,206.5388,590.4621,108.9556,2346.786885,2242.3,2696.4,1647.3,3542.5,1108.2,40.06557377,25.1,43.8,16.4,79.2,0.9
EO,61,jun,314.381541,319.3908,373.1434,157.2802,594.4638,140.8796,2116.344262,1988.4,2604.3,1717.9,3032,1147.5,40.19672131,23.7,43.9,16.4,81.8,0.8
ER,164,jul,248.0763902,214.8764,297.1805,155.0607,419.5382,117.5912,1907.987805,1844.9,2276.5,1476.6,2802.1,1050.9,22.11585366,15.1,28.7,8,44.8,2.8
ER,164,aug,245.7011646,215.3132,308.189,146.6422,377.8996,105.368,1933.396341,1839.3,2205,1499.7,2814.2,981.2,21.47560976,13.8,25.7,7.4,46.9,2.7
ER,164,sep,245.6397805,197.1894,319.3362,149.3912,419.9593,100.4715,1974.932927,1840.4,2379.1,1495,2986.5,991.7,20.32317073,14.1,23.1,7.1,39.9,2
ER,164,oct,347.3270732,305.6218,435.4543,191.1908,612.8172,133.8331,2251.676829,2082.5,2798.3,1492.2,3403.3,1228.6,22.81097561,14.9,27.6,7.9,36.1,2.4
