"code","direction","full_name","display_name","description","is_variable","is_green","is_tracker","is_prepay","is_business","is_restricted","term","available_from","available_to","links","brand"
"AGILE-24-10-01","IMPORT","Agile Octopus October 2024 v1","Agile Octopus","With Agile Octopus, you get access to half-hourly energy prices, tied to wholesale prices and updated daily.  The unit rate is capped at 100p/kWh (including VAT).","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2024-10-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/AGILE-24-10-01/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"AGILE-BB-24-10-01","IMPORT","Agile Octopus October 2024 v1","Agile Octopus","With Agile Octopus, you get access to half-hourly energy prices, tied to wholesale prices and updated daily.  The unit rate is capped at 100p/kWh (including VAT).","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2024-10-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/AGILE-BB-24-10-01/"", method = ""GET"", rel = ""self"")","BULB"
"AGILE-OUTGOING-19-05-13","EXPORT","Agile Outgoing Octopus May 2019","Agile Outgoing Octopus","Outgoing Octopus Agile rate pays you for all your exported energy based on the day-ahead wholesale rate.","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2018-01-01T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/AGILE-OUTGOING-19-05-13/"", method = ""GET"", rel = ""self"")","OCTOPUS_ENERGY"
"AGILE-OUTGOING-BB-23-02-28","EXPORT","Agile Outgoing Octopus February 2023 v1","Agile Outgoing Octopus","Outgoing Octopus Agile rate pays you for all your exported energy based on the day-ahead wholesale rate.","TRUE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2023-02-27T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/AGILE-OUTGOING-BB-23-02-28/"", method = ""GET"", rel = ""self"")","BULB"
"COOP-FIX-12M-25-04-01","IMPORT","Co-op 12M Fixed April 2025 v1","Co-op 12M Fixed","This fixed tariff locks in your unit rates and standing charges for 12 months with no exit fees.","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","12","2025-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/COOP-FIX-12M-25-04-01/"", method = ""GET"", rel = ""self"")","COOP_ENERGY"
"COOP-LOYAL-FIX-12M-25-04-01","IMPORT","Co-op Loyal 12M Fixed April 2025 v1","Co-op Loyal 12M Fixed","For existing Co-op customers only. This fixed tariff locks in your unit rates and standing charges for 12 months with no exit fees.","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","12","2025-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/COOP-LOYAL-FIX-12M-25-04-01/"", method = ""GET"", rel = ""self"")","COOP_ENERGY"
"COOP-PP-VAR-20-04-01","IMPORT","Co-op Key and Card","Co-op Key and Card","Non-smart prepayment tariff","TRUE","FALSE","FALSE","TRUE","FALSE","FALSE","NA","2020-03-03T00:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/COOP-PP-VAR-20-04-01/"", method = ""GET"", rel = ""self"")","COOP_ENERGY"
"COOP-SEG-EO-FIX-12M-24-04-05","EXPORT","Co-op Smart Export Guarantee Export Only April 2024 v1","Co-op Smart Export Guarantee Export Only","This is our Smart Export Guarantee compliant export tariff for export only accounts","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2024-04-05T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/COOP-SEG-EO-FIX-12M-24-04-05/"", method = ""GET"", rel = ""self"")","COOP_ENERGY"
"COOP-SEG-FIX-12M-20-11-11","EXPORT","Co-op Smart Export Guarantee November 2020 v1","Co-op Smart Export Guarantee","This is our Smart Export Guarantee compliant export tariff","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","12","2020-11-11T17:00:00Z","NA","list(href = ""https://api.octopus.energy/v1/products/COOP-SEG-FIX-12M-20-11-11/"", method = ""GET"", rel = ""self"")","COOP_ENERGY"
"COOP-VAR-23-04-01","IMPORT","Co-op Flexible","Co-op Flexible","Co-op Flexible prices follow wholesale costs and update every 3 months. Prices are expected to rise in April.","TRUE","FALSE","FALSE","FALSE","FALSE","FALSE","NA","2023-04-01T00:00:00+01:00","NA","list(href = ""https://api.octopus.energy/v1/products/COOP-VAR-23-04-01/"", method = ""GET"", rel = ""self"")","COOP_ENERGY"
